date,roll_yield,near_by,deferred
2018-07-17,0.055786731478033716,TA809,TA901
2018-07-18,0.060879131253920776,TA809,TA901
2018-07-19,0.07231720053759962,TA809,TA901
2018-07-20,0.06762271168200744,TA809,TA901
2018-07-23,0.0665349851897174,TA809,TA901
2018-07-24,0.08011024873752684,TA809,TA901
2018-07-25,0.07119648575609965,TA809,TA901
2018-07-26,0.051065062708291906,TA809,TA901
2018-07-27,0.05759083640041137,TA809,TA901
2018-07-30,0.06681790682736953,TA809,TA901
2018-07-31,0.06328134917939879,TA809,TA901
2018-08-01,0.0910597886038812,TA809,TA901
2018-08-02,0.14024693872221844,TA809,TA901
2018-08-03,0.18787026960441483,TA809,TA901
2018-08-06,0.22467562810498032,TA809,TA901
2018-08-07,0.15228079688835416,TA809,TA901
2018-08-08,0.06810536951492605,TA809,TA901
2018-08-09,0.11484236414650612,TA809,TA901
2018-08-10,0.15291566161714792,TA809,TA901
2018-08-13,0.1845579762002063,TA809,TA901
2018-08-14,0.21461293120775402,TA809,TA901
2018-08-15,0.18957143211101393,TA809,TA901
2018-08-16,0.23793429280886913,TA809,TA901
2018-08-17,0.3363145342291159,TA809,TA901
2018-08-20,0.45405586568104894,TA811,TA901
2018-08-21,0.3880232583204057,TA811,TA901
2018-08-22,0.4145838280554831,TA811,TA901
2018-08-23,0.37923448225747475,TA811,TA901
2018-08-24,0.3650722968721043,TA811,TA901
2018-08-27,0.5060585495888144,TA811,TA901
2018-08-28,0.5162603028975385,TA811,TA901
2018-08-29,0.4624423412453408,TA811,TA901
2018-08-30,0.461822691108606,TA811,TA901
2018-08-31,0.46979232333811055,TA811,TA901
2018-09-03,0.6024450507810197,TA811,TA901
2018-09-04,0.5722820477562762,TA811,TA901
2018-09-05,0.6088439818112723,TA811,TA901
2018-09-06,0.6309252148420922,TA811,TA901
2018-09-07,0.61402012615787,TA811,TA901
2018-09-10,0.5786017058514302,TA811,TA901
2018-09-11,0.4946504952480151,TA811,TA901
2018-09-12,0.5556001193496373,TA811,TA901
2018-09-13,0.5615000202018159,TA811,TA901
2018-09-14,0.558906130688026,TA811,TA901
2018-09-17,0.444647832922331,TA811,TA901
2018-09-18,0.290601905194375,TA811,TA901
2018-09-19,0.2411148536010828,TA811,TA901
2018-09-20,0.2741842281409055,TA811,TA901
2018-09-21,0.10064368762400641,TA901,TA905
2018-09-25,0.09055357173368288,TA901,TA905
2018-09-26,0.09465045395085406,TA901,TA905
2018-09-27,0.10882462646854549,TA901,TA905
2018-09-28,0.09247019524748232,TA901,TA905
2018-10-08,0.097684990152558,TA901,TA905
2018-10-09,0.08926814951568623,TA901,TA905
2018-10-10,0.09514369013753218,TA901,TA905
2018-10-11,0.08419024091536079,TA901,TA905
2018-10-12,0.08446642409382538,TA901,TA905
2018-10-15,0.07796909919329535,TA901,TA905
2018-10-16,0.062389604669065665,TA901,TA905
2018-10-17,0.053542971721931495,TA901,TA905
2018-10-18,0.04128505521804447,TA901,TA905
2018-10-19,0.028468941175972755,TA901,TA905
2018-10-22,0.03388884696764624,TA901,TA905
2018-10-23,0.039046104336211085,TA901,TA905
2018-10-24,0.0647822079234895,TA901,TA905
2018-10-25,0.054555088113109725,TA901,TA905
2018-10-26,0.05093197535416701,TA901,TA905
2018-10-29,0.05498335724134833,TA901,TA905
2018-10-30,0.05306793442921751,TA901,TA905
2018-10-31,0.07937663220135793,TA901,TA905
2018-11-01,0.0805239316254516,TA901,TA905
2018-11-02,0.08557853959845801,TA901,TA905
2018-11-05,0.1053687776199462,TA901,TA905
2018-11-06,0.08793498554450087,TA901,TA905
2018-11-07,0.10501304449191694,TA901,TA905
2018-11-08,0.11031677027953851,TA901,TA905
2018-11-09,0.10824703681197424,TA901,TA905
2018-11-12,0.09163137112092155,TA901,TA905
2018-11-13,0.09781956470059194,TA901,TA905
2018-11-14,0.08674154693489369,TA901,TA905
2018-11-15,0.0850182840143794,TA901,TA905
2018-11-16,0.08806441068678382,TA901,TA905
2018-11-19,0.11726058434580508,TA901,TA905
2018-11-20,0.13140786797517867,TA901,TA905
2018-11-21,0.09060600987852258,TA901,TA905
2018-11-22,0.08290001165255412,TA901,TA905
2018-11-23,0.0686205497088353,TA901,TA905
2018-11-26,0.047805724254084116,TA901,TA905
2018-11-27,0.06727899696832566,TA901,TA905
2018-11-28,0.07457555656114026,TA901,TA905
2018-11-29,0.09456807411592928,TA901,TA905
2018-11-30,0.0929680321501196,TA901,TA905
2018-12-03,0.11178938065129085,TA901,TA905
2018-12-04,0.12274662529506843,TA901,TA905
2018-12-05,0.16055754662633015,TA901,TA905
2018-12-06,0.15712403008800163,TA901,TA905
2018-12-07,0.15969116139650003,TA901,TA905
2018-12-10,0.20051583819119045,TA901,TA905
2018-12-11,0.18356405559182948,TA901,TA905
2018-12-12,0.18071417623156974,TA901,TA905
2018-12-13,0.1779290917053774,TA901,TA905
2018-12-14,0.1305787951496728,TA901,TA905
2018-12-17,0.14187707131946659,TA901,TA905
2018-12-18,0.1377167288743354,TA901,TA905
2018-12-19,0.13677582396701693,TA901,TA905
2018-12-20,0.13693137941142397,TA901,TA905
2018-12-21,0.13738396556890028,TA901,TA905
2018-12-24,0.05457339290691069,TA903,TA905
2018-12-25,0.06434934539266439,TA903,TA905
2018-12-26,0.06213379654265483,TA903,TA905
2018-12-27,0.062155251966568105,TA903,TA905
2018-12-28,0.05928065159824211,TA903,TA905
2019-01-02,0.0662046225818054,TA903,TA905
2019-01-03,0.06736912882494848,TA903,TA905
2019-01-04,0.07359547125720714,TA903,TA905
2019-01-07,0.09577381139718102,TA903,TA905
2019-01-08,0.08907046162651748,TA903,TA905
2019-01-09,0.09736925059216053,TA903,TA905
2019-01-10,0.1207363846635712,TA903,TA905
2019-01-11,0.09847817784798087,TA905,TA907
2019-01-14,0.10033678637676015,TA905,TA907
2019-01-15,0.1108576570054394,TA905,TA907
2019-01-16,0.09724042834516688,TA905,TA907
2019-01-17,0.09568309085605112,TA905,TA907
2019-01-18,0.1048269910817811,TA905,TA909
2019-01-21,0.1268264494447149,TA905,TA909
2019-01-22,0.10847994424333138,TA905,TA909
2019-01-23,0.10824791150219956,TA905,TA907
2019-01-24,0.11698509987523022,TA905,TA909
2019-01-25,0.10858777839441877,TA905,TA909
2019-01-28,0.10962758231022271,TA905,TA909
2019-01-29,0.11289597446878005,TA905,TA909
2019-01-30,0.11982575353504794,TA905,TA909
2019-01-31,0.13740025069614617,TA905,TA909
2019-02-01,0.13594558863612746,TA905,TA909
2019-02-11,0.13455169849605536,TA905,TA909
2019-02-12,0.1286567746142667,TA905,TA909
2019-02-13,0.1033440783765851,TA905,TA909
2019-02-14,0.102509181836017,TA905,TA909
2019-02-15,0.10604511164003141,TA905,TA909
2019-02-18,0.10352344606537889,TA905,TA909
2019-02-19,0.11044191936814896,TA905,TA909
2019-02-20,0.10411139402495795,TA905,TA909
2019-02-21,0.10266266237990816,TA905,TA909
2019-02-22,0.08764562407807236,TA905,TA909
2019-02-25,0.08570666076659748,TA905,TA909
2019-02-26,0.10193074469862135,TA905,TA909
2019-02-27,0.09619291521355378,TA905,TA909
2019-02-28,0.09136785681323095,TA905,TA909
2019-03-01,0.11318596606023623,TA905,TA909
2019-03-04,0.09964015496120969,TA905,TA909
2019-03-05,0.12272970823237808,TA905,TA909
2019-03-06,0.13896838927530786,TA905,TA909
2019-03-07,0.15754535456901195,TA905,TA909
2019-03-08,0.18551022953089172,TA905,TA909
2019-03-11,0.20314873002729317,TA905,TA909
2019-03-12,0.18659348506236798,TA905,TA909
2019-03-13,0.16471013217024938,TA905,TA909
2019-03-14,0.16409970000522392,TA905,TA909
2019-03-15,0.19865868012502358,TA905,TA909
